"","Region","Area","palmitic","palmitoleic","stearic","oleic","linoleic","linolenic","arachidic","eicosenoic"
"123","1","South-Apulia",1226,181,213,6961,1230,47,74,26
"124","1","South-Apulia",1201,168,190,7100,1216,43,64,16
"125","1","South-Apulia",1297,153,177,7004,1260,35,60,16
"126","1","South-Apulia",1248,163,158,7103,1222,31,60,14
"127","1","South-Apulia",1335,159,197,6974,1220,36,60,17
"128","1","South-Apulia",1219,167,171,7087,1254,35,50,16
"129","1","South-Apulia",1318,179,177,7030,1194,35,42,25
"130","1","South-Apulia",1264,167,166,7130,1187,22,52,12
"131","1","South-Apulia",1201,175,201,7129,1193,36,49,15
"132","1","South-Apulia",1252,180,181,7055,1214,31,59,38
"133","1","South-Apulia",1273,182,209,6965,1191,43,74,23
"134","1","South-Apulia",1351,179,170,7034,1154,35,66,10
"135","1","South-Apulia",1336,155,212,7103,1086,33,55,20
"136","1","South-Apulia",1499,201,182,6803,1204,30,56,24
"137","1","South-Apulia",1425,198,193,7032,1041,31,52,17
"138","1","South-Apulia",1358,204,227,6962,1109,41,65,34
"139","1","South-Apulia",1346,181,257,7147,933,40,60,36
"140","1","South-Apulia",1392,186,256,6732,1278,53,64,29
"141","1","South-Apulia",1311,166,222,7006,1147,41,80,27
"142","1","South-Apulia",1314,171,229,6923,1198,47,76,42
"143","1","South-Apulia",1409,200,207,6842,1224,31,60,27
"144","1","South-Apulia",1342,174,221,6993,1147,36,64,23
"145","1","South-Apulia",1387,182,206,7100,1020,34,54,17
"146","1","South-Apulia",1413,202,205,6920,1165,36,46,13
"147","1","South-Apulia",1430,209,225,6800,1200,32,59,27
"148","1","South-Apulia",1336,185,223,6956,1155,56,73,16
"149","1","South-Apulia",1372,200,200,6916,1189,33,50,22
"150","1","South-Apulia",1330,157,228,7055,1108,42,55,25
"151","1","South-Apulia",1412,207,208,6822,1239,36,51,28
"152","1","South-Apulia",1321,209,217,6948,1178,42,62,23
"153","1","South-Apulia",1401,200,217,6980,1073,40,68,21
"154","1","South-Apulia",1401,214,217,6734,1293,44,69,27
"155","1","South-Apulia",1457,168,242,6724,1266,54,59,30
"156","1","South-Apulia",1451,199,221,6835,1177,37,51,29
"157","1","South-Apulia",1438,206,248,6806,1183,34,57,28
"158","1","South-Apulia",1462,204,237,6644,1309,42,54,28
"159","1","South-Apulia",1529,215,203,6602,1310,45,69,27
"160","1","South-Apulia",1510,189,245,6752,1188,36,52,28
"161","1","South-Apulia",1437,222,184,6803,1240,43,56,16
"162","1","South-Apulia",1327,129,247,7024,1157,38,56,22
"163","1","South-Apulia",1438,172,252,6630,1380,40,64,24
"164","1","South-Apulia",1447,176,189,6849,1180,42,64,26
"165","1","South-Apulia",1355,144,214,6972,1198,33,60,24
"166","1","South-Apulia",1369,156,241,6890,1209,42,63,30
"167","1","South-Apulia",1471,188,276,6697,1269,34,51,16
"168","1","South-Apulia",1456,179,240,6738,1267,41,65,14
"169","1","South-Apulia",1314,140,207,7020,1220,28,59,12
"170","1","South-Apulia",1408,176,192,6909,1195,45,50,25
"171","1","South-Apulia",1397,172,191,7107,1018,36,50,29
"172","1","South-Apulia",1413,191,186,6937,1180,31,46,13
"173","1","South-Apulia",1539,194,213,6764,1178,38,58,16
"174","1","South-Apulia",1304,159,234,7019,1174,38,53,19
"175","1","South-Apulia",1341,160,231,7033,1069,40,67,33
"176","1","South-Apulia",1508,208,249,6641,1311,25,43,20
"177","1","South-Apulia",1515,226,257,6595,1287,41,63,16
"178","1","South-Apulia",1262,165,235,7120,1113,32,51,21
"179","1","South-Apulia",1307,197,238,7003,1144,37,50,24
"180","1","South-Apulia",1294,159,253,7009,1190,30,52,13
"181","1","South-Apulia",1460,187,215,6843,1172,35,56,32
"182","1","South-Apulia",1476,187,203,6837,1197,36,48,22
"183","1","South-Apulia",1482,178,197,6814,1201,40,64,24
"184","1","South-Apulia",1388,176,185,7008,1111,48,53,31
"185","1","South-Apulia",1367,172,235,7066,1054,35,45,26
"186","1","South-Apulia",1272,207,205,7152,1098,37,52,22
"187","1","South-Apulia",1323,157,234,7132,1022,38,58,31
"188","1","South-Apulia",1206,218,242,7193,1002,37,54,25
"189","1","South-Apulia",1383,157,217,7018,1090,40,60,37
"190","1","South-Apulia",1521,190,238,6956,986,36,50,23
"191","1","South-Apulia",1350,168,227,6986,1165,29,58,17
"192","1","South-Apulia",1422,181,218,6813,1230,30,59,21
"193","1","South-Apulia",1298,166,224,6986,1162,34,65,31
"194","1","South-Apulia",1447,236,245,6607,1336,33,51,21
"195","1","South-Apulia",1347,197,211,6795,1300,32,59,34
"196","1","South-Apulia",1339,170,253,6989,1110,29,63,23
"197","1","South-Apulia",1388,183,216,6867,1208,28,61,21
"198","1","South-Apulia",1527,260,232,6488,1370,31,45,20
"199","1","South-Apulia",1495,237,236,6571,1318,32,58,26
"200","1","South-Apulia",1487,246,251,6504,1390,29,53,19
"201","1","South-Apulia",1399,180,232,6855,1190,32,66,22
"202","1","South-Apulia",1489,215,242,6777,1145,30,60,22
"203","1","South-Apulia",1339,166,226,6928,1198,30,60,23
"204","1","South-Apulia",1482,246,238,6444,1462,27,50,20
"205","1","South-Apulia",1434,172,255,6646,1354,27,59,25
"206","1","South-Apulia",1347,156,214,6850,1313,25,48,19
"207","1","South-Apulia",1340,158,233,6848,1272,32,63,25
"208","1","South-Apulia",1453,180,244,6752,1238,34,54,23
"209","1","South-Apulia",1306,149,226,7082,1097,33,61,24
"210","1","South-Apulia",1349,161,217,6997,1138,31,62,23
"211","1","South-Apulia",1254,151,205,7319,947,28,54,23
"212","1","South-Apulia",1168,144,220,7230,1109,31,52,28
"213","1","South-Apulia",1346,167,224,6959,1111,30,49,23
"214","1","South-Apulia",1390,184,212,6898,1189,29,44,19
"215","1","South-Apulia",1283,149,224,7077,1104,30,57,32
"216","1","South-Apulia",1214,137,232,7269,1005,32,55,23
"217","1","South-Apulia",1491,227,205,6941,988,33,68,34
"218","1","South-Apulia",1479,218,207,7039,887,36,65,36
"219","1","South-Apulia",1445,174,228,6875,1123,29,69,31
"220","1","South-Apulia",1439,183,218,6775,1226,32,66,29
"221","1","South-Apulia",1387,154,204,6991,1090,34,74,32
"222","1","South-Apulia",1426,169,192,7025,1043,31,64,27
"223","1","South-Apulia",1451,200,208,6980,1006,30,62,31
"224","1","South-Apulia",1493,204,188,6913,1044,32,61,35
"225","1","South-Apulia",1419,192,207,6996,1014,36,70,36
"226","1","South-Apulia",1342,177,199,7172,952,34,65,33
"227","1","South-Apulia",1349,152,236,7145,949,35,75,29
"228","1","South-Apulia",1440,196,208,6938,1070,32,61,26
"229","1","South-Apulia",1460,215,197,6918,1081,28,55,23
"230","1","South-Apulia",1249,133,205,7417,827,33,72,33
"231","1","South-Apulia",1348,159,238,7017,1081,31,67,25
"232","1","South-Apulia",1341,155,244,6958,1144,32,68,26
"233","1","South-Apulia",1398,149,204,7182,907,29,76,30
"234","1","South-Apulia",1454,200,199,6910,1090,30,62,25
"235","1","South-Apulia",1334,153,219,6928,1214,33,66,24
"236","1","South-Apulia",1438,204,189,7107,910,33,63,27
"237","1","South-Apulia",1303,138,212,7170,1016,34,69,25
"238","1","South-Apulia",1323,147,210,7108,1070,33,61,20
"239","1","South-Apulia",1417,169,207,6875,1184,34,57,27
"240","1","South-Apulia",1360,167,225,6883,1220,31,55,27
"241","1","South-Apulia",1420,179,214,6923,1121,33,56,27
"242","1","South-Apulia",1472,218,214,6724,1238,29,53,23
"243","1","South-Apulia",1368,174,205,7042,1066,31,57,26
"244","1","South-Apulia",1367,173,228,6948,1141,32,53,24
"245","1","South-Apulia",1403,173,209,6843,1210,33,63,33
"246","1","South-Apulia",1413,197,206,6737,1387,34,60,31
"247","1","South-Apulia",1201,138,207,7011,1269,37,64,35
"248","1","South-Apulia",1359,180,207,6895,1203,33,61,30
"249","1","South-Apulia",1518,198,225,6681,1243,29,57,24
"250","1","South-Apulia",1434,185,189,6771,1269,30,62,25
"251","1","South-Apulia",1367,162,179,6772,1368,33,64,27
"252","1","South-Apulia",1461,181,197,6783,1246,26,57,23
"253","1","South-Apulia",1368,161,198,7030,1095,33,59,31
"254","1","South-Apulia",1419,159,215,6862,1193,35,60,31
"255","1","South-Apulia",1514,162,298,6725,1119,45,93,30
"256","1","South-Apulia",1328,171,253,6987,1030,38,83,39
"257","1","South-Apulia",1469,160,337,6675,1127,44,94,36
"258","1","Sicily",1222,133,227,7425,824,36,69,35
"259","1","Sicily",1639,172,331,6510,1124,46,91,32
"260","1","Sicily",1345,133,272,6801,1194,48,83,37
"261","1","Sicily",1339,170,275,6838,1060,46,88,43
"262","1","Sicily",1194,135,263,7277,889,44,95,41
"263","1","Sicily",1112,68,375,7770,448,52,69,45
"264","1","Sicily",1222,70,329,7605,566,48,67,43
"265","1","Sicily",1136,72,341,7616,661,49,65,32
"266","1","Sicily",926,41,277,7815,784,45,65,25
"267","1","Sicily",1105,69,373,7714,532,51,68,37
"268","1","Sicily",1109,79,305,7576,763,45,64,36
"269","1","Sicily",1284,93,265,7235,893,43,77,46
"270","1","Sicily",1120,69,277,7416,946,42,59,36
"271","1","Sicily",916,52,281,7870,694,42,64,58
"272","1","Sicily",905,49,288,7747,812,49,71,56
"273","1","Sicily",1206,55,287,7329,935,44,74,42
"274","1","Sicily",1457,182,267,7020,863,41,84,37
"275","1","Sicily",1327,140,193,7328,823,36,87,35
"276","1","Sicily",1303,100,251,7045,1049,40,86,40
"277","1","Sicily",1444,175,259,6876,1027,34,78,32
"278","1","Sicily",1505,243,226,6962,858,30,72,27
"279","1","Sicily",1429,162,223,6917,1041,37,77,40
"280","1","Sicily",1491,162,211,6994,928,37,97,38
"281","1","Sicily",1393,128,211,7189,870,38,93,40
"282","1","Sicily",1404,134,210,7110,923,40,101,43
"283","1","Sicily",1222,130,214,7374,856,38,89,45
"284","1","Sicily",1153,74,316,7593,705,42,64,32
"285","1","Sicily",1169,76,307,7553,728,43,69,32
"286","1","Sicily",1369,104,237,7375,775,39,70,15
"287","1","Sicily",993,58,267,7743,773,41,62,44
"288","1","Sicily",980,53,254,7719,815,44,69,47
"289","1","Sicily",967,55,273,7692,833,45,63,47
"290","1","Sicily",1128,73,354,7527,728,44,76,38
"291","1","Sicily",1188,85,273,7445,814,44,73,42
"292","1","Sicily",1257,95,247,7405,812,43,70,35
"293","1","Sicily",1262,88,301,7471,704,43,71,31
"294","1","South-Apulia",1283,153,196,7107,1115,37,60,28
"295","1","South-Apulia",1263,155,199,7140,1148,31,42,18
"296","1","South-Apulia",1369,158,215,7160,958,38,69,32
"297","1","South-Apulia",1353,172,175,6965,1212,28,75,19
"298","1","South-Apulia",1187,139,185,7427,952,29,56,22
"299","1","South-Apulia",1732,231,156,6437,1313,45,62,23
"300","1","South-Apulia",1620,255,166,6628,1212,29,62,27
"301","1","South-Apulia",1543,172,193,6740,1157,52,87,34
"302","1","South-Apulia",1498,170,195,6804,1206,35,66,23
"303","1","South-Apulia",1399,169,171,7011,1100,36,72,16
"304","1","South-Apulia",1293,156,191,7101,1111,32,60,31
"305","1","South-Apulia",1420,175,152,7004,1149,27,50,20
"306","1","South-Apulia",1721,238,255,6300,1350,35,70,28
"307","1","South-Apulia",1742,221,156,6415,1315,43,82,23
"308","1","South-Apulia",1391,187,189,6975,1062,52,70,45
"309","1","South-Apulia",1517,206,249,6680,1205,33,80,27
"310","1","South-Apulia",1269,157,193,7140,1148,31,40,18
"311","1","South-Apulia",1577,204,208,6732,1183,20,52,20
"312","1","South-Apulia",1590,241,195,6705,1149,27,68,21
"313","1","South-Apulia",1621,280,197,6608,1179,28,58,27
"314","1","South-Apulia",1753,275,236,6367,1214,23,61,27
"315","1","South-Apulia",1679,260,177,6568,1191,30,59,33
"316","1","South-Apulia",1419,203,176,6973,1083,38,78,27
"317","1","South-Apulia",1693,236,174,6499,1204,51,102,37
"318","1","South-Apulia",1692,270,234,6499,1196,31,59,15
"319","1","South-Apulia",1638,252,215,6570,1199,39,53,29
"320","1","South-Apulia",1497,247,219,6621,1270,36,73,32
"321","1","South-Apulia",1442,222,194,6677,1314,36,72,38
"322","1","South-Apulia",1680,270,170,6440,1310,31,62,28
"323","1","South-Apulia",1463,164,185,6909,1154,49,58,17
"324","2","Inland-Sardinia",1129,120,222,7272,1112,43,98,2
"325","2","Inland-Sardinia",1042,135,210,7376,1116,35,90,3
"326","2","Inland-Sardinia",1103,96,210,7380,1085,32,94,3
"327","2","Inland-Sardinia",1118,97,221,7279,1154,35,94,2
"328","2","Inland-Sardinia",1052,95,215,7388,1126,31,92,1
"329","2","Inland-Sardinia",1116,102,231,7290,1168,26,66,1
"330","2","Inland-Sardinia",1108,132,231,7319,1101,20,66,2
"331","2","Inland-Sardinia",1129,108,212,7386,1074,28,62,3
"332","2","Inland-Sardinia",1085,91,223,7384,1126,28,62,3
"333","2","Inland-Sardinia",1104,103,233,7322,1147,27,61,2
"334","2","Inland-Sardinia",1098,88,212,7338,1140,28,67,1
"335","2","Coast-Sardinia",1135,98,251,7120,1314,20,61,2
"336","2","Coast-Sardinia",1158,108,245,7065,1326,22,75,1
"337","2","Coast-Sardinia",1133,110,241,7080,1342,21,68,3
"338","2","Coast-Sardinia",1095,125,250,7120,1305,21,83,1
"339","2","Coast-Sardinia",1201,87,238,6990,1383,25,75,3
"340","2","Coast-Sardinia",1213,112,245,7007,1335,22,65,3
"341","2","Inland-Sardinia",1108,92,231,7367,1110,29,62,3
"342","2","Inland-Sardinia",1075,103,207,7413,1096,32,68,2
"343","2","Inland-Sardinia",1059,96,228,7386,1128,25,72,2
"344","2","Inland-Sardinia",1176,92,207,7347,1057,35,82,1
"345","2","Inland-Sardinia",1159,98,213,7320,1108,38,64,1
"346","2","Inland-Sardinia",1132,80,201,7398,1095,27,67,2
"347","2","Inland-Sardinia",1107,75,220,7399,1096,29,90,1
"348","2","Inland-Sardinia",1092,104,234,7355,1126,28,58,2
"349","2","Inland-Sardinia",1119,81,219,7409,1057,33,81,2
"350","2","Inland-Sardinia",1106,93,212,7381,1104,35,68,1
"351","2","Inland-Sardinia",1047,101,238,7385,1120,28,89,1
"352","2","Inland-Sardinia",1165,99,214,7331,1101,22,67,3
"353","2","Inland-Sardinia",1158,84,201,7327,1123,29,77,2
"354","2","Inland-Sardinia",1095,88,203,7415,1093,37,78,1
"355","2","Inland-Sardinia",1176,75,205,7396,1107,33,74,2
"356","2","Inland-Sardinia",1103,109,220,7335,1140,28,59,2
"357","2","Inland-Sardinia",1112,92,209,7356,1125,32,73,2
"358","2","Inland-Sardinia",1091,93,222,7377,1113,20,53,2
"359","2","Inland-Sardinia",1080,98,219,7371,1125,33,78,1
"360","2","Inland-Sardinia",1051,108,227,7403,1114,30,66,3
"361","2","Inland-Sardinia",1096,84,211,7415,1091,30,71,2
"362","2","Inland-Sardinia",1142,97,225,7341,1101,28,65,1
"363","2","Inland-Sardinia",1047,96,236,7399,1107,32,80,3
"364","2","Inland-Sardinia",1114,86,210,7359,1116,31,83,2
"365","2","Inland-Sardinia",1140,93,241,7324,1098,23,74,1
"366","2","Inland-Sardinia",1075,91,200,7410,1107,36,80,1
"367","2","Inland-Sardinia",1092,106,219,7427,1125,33,77,1
"368","2","Inland-Sardinia",1076,95,204,7408,1130,27,79,2
"369","2","Inland-Sardinia",1178,89,201,7381,1099,34,87,2
"370","2","Inland-Sardinia",1095,104,223,7367,1111,43,56,2
"371","2","Coast-Sardinia",1166,97,272,6971,1390,20,83,3
"372","2","Coast-Sardinia",1154,119,257,7130,1253,22,61,1
"373","2","Coast-Sardinia",1177,111,241,6882,1470,22,95,2
"374","2","Coast-Sardinia",1160,96,240,7043,1357,24,79,2
"375","2","Coast-Sardinia",1122,104,241,7145,1313,15,58,1
"376","2","Coast-Sardinia",1132,99,257,7065,1362,24,90,3
"377","2","Coast-Sardinia",1096,100,260,7162,1282,25,74,2
"378","2","Coast-Sardinia",1131,87,233,7144,1307,25,72,3
"379","2","Coast-Sardinia",1184,105,258,7020,1340,26,66,2
"380","2","Coast-Sardinia",1135,94,235,7123,1320,24,67,2
"381","2","Coast-Sardinia",1084,96,240,7164,1330,28,57,1
"382","2","Coast-Sardinia",1086,127,252,7159,1285,28,62,2
"383","2","Coast-Sardinia",1140,95,258,7085,1347,23,71,3
"384","2","Coast-Sardinia",1138,101,254,7103,1310,25,68,1
"385","2","Coast-Sardinia",1159,110,261,7068,1297,27,77,2
"386","2","Inland-Sardinia",1051,78,211,7421,1146,30,82,2
"387","2","Inland-Sardinia",1048,79,213,7439,1130,28,61,2
"388","2","Inland-Sardinia",1061,86,220,7421,1102,29,79,3
"389","2","Inland-Sardinia",1105,88,210,7353,1142,28,72,1
"390","2","Inland-Sardinia",1145,35,237,7208,1118,20,46,2
"391","2","Inland-Sardinia",1049,96,219,7303,1168,22,47,2
"392","2","Inland-Sardinia",1105,120,218,7302,1158,23,45,3
"393","2","Inland-Sardinia",1030,84,214,7403,1177,21,70,1
"394","2","Inland-Sardinia",1070,98,215,7280,1240,28,68,3
"395","2","Inland-Sardinia",1103,81,208,7310,1177,30,90,3
"396","2","Inland-Sardinia",1040,101,205,7368,1176,25,85,3
"397","2","Inland-Sardinia",1100,95,210,7320,1113,22,72,3
"398","2","Inland-Sardinia",1118,85,199,7415,1060,36,86,3
"399","2","Inland-Sardinia",1065,98,230,7345,1163,24,74,1
"400","2","Inland-Sardinia",1131,78,221,7358,1120,22,69,2
"401","2","Inland-Sardinia",1080,120,218,7296,1145,35,105,2
"402","2","Inland-Sardinia",1075,86,231,7403,1109,22,73,3
"403","2","Inland-Sardinia",1040,103,228,7364,1173,25,66,2
"404","2","Inland-Sardinia",1128,82,203,7320,1148,30,88,1
"405","2","Inland-Sardinia",1060,111,231,7363,1149,20,65,1
"406","2","Inland-Sardinia",1103,78,220,7365,1149,20,65,2
"407","2","Inland-Sardinia",1110,91,201,7318,1185,24,74,2
"408","2","Inland-Sardinia",1091,108,218,7383,1183,28,88,3
"409","2","Inland-Sardinia",1094,96,220,7341,1127,26,96,2
"410","2","Coast-Sardinia",1131,87,208,7170,1308,28,57,2
"411","2","Coast-Sardinia",1175,108,214,7076,1307,33,85,2
"412","2","Coast-Sardinia",1076,77,202,7243,1305,29,67,1
"413","2","Coast-Sardinia",1120,90,240,7068,1383,23,75,1
"414","2","Coast-Sardinia",1152,111,238,7080,1372,25,81,2
"415","2","Coast-Sardinia",1141,95,250,7035,1388,22,68,2
"416","2","Coast-Sardinia",1098,103,267,7135,1301,24,76,2
"417","2","Coast-Sardinia",1126,100,236,7062,1380,26,69,1
"418","2","Coast-Sardinia",1087,89,243,7200,1302,18,60,1
"419","2","Coast-Sardinia",1115,96,236,7085,1372,20,75,2
"420","2","Coast-Sardinia",1178,92,241,7006,1376,22,84,1
"421","2","Coast-Sardinia",1162,106,242,7025,1368,25,71,2
"422","3","Umbria",1085,70,180,7955,605,20,50,1
"423","3","Umbria",1085,70,185,7955,600,25,55,1
"424","3","Umbria",1090,60,190,7950,600,28,47,2
"425","3","Umbria",1080,65,189,7960,602,35,20,1
"426","3","Umbria",1090,60,195,7955,600,28,42,2
"427","3","Umbria",1105,55,200,7900,600,37,55,2
"428","3","Umbria",1060,75,175,7975,610,20,55,2
"429","3","Umbria",1050,70,170,7977,605,28,65,1
"430","3","Umbria",1100,55,198,7905,600,35,50,3
"431","3","Umbria",1065,65,178,7965,605,22,65,2
"432","3","Umbria",1085,60,188,7955,602,30,50,2
"433","3","Umbria",1080,65,180,7960,605,25,55,1
"434","3","Umbria",1085,60,190,7955,602,30,53,1
"435","3","Umbria",1075,68,195,7960,602,20,40,3
"436","3","Umbria",1090,58,192,7950,600,35,40,3
"437","3","Umbria",1095,60,198,7945,600,38,34,2
"438","3","Umbria",1090,58,195,7950,600,30,42,2
"439","3","Umbria",1095,58,198,7950,602,35,32,1
"440","3","Umbria",1090,58,195,7940,600,35,42,2
"441","3","Umbria",1095,58,198,7945,600,35,34,1
"442","3","Umbria",1095,55,200,7940,600,35,45,3
"443","3","Umbria",1080,70,188,7965,608,28,36,3
"444","3","Umbria",1090,60,195,7950,600,32,38,2
"445","3","Umbria",1105,55,200,7900,595,39,56,1
"446","3","Umbria",1110,50,205,7900,595,40,52,1
"447","3","Umbria",1075,70,198,7978,608,28,33,2
"448","3","Umbria",1075,65,185,7980,608,35,42,3
"449","3","Umbria",1065,75,180,7975,610,25,50,3
"450","3","Umbria",1070,75,188,7980,602,22,45,2
"451","3","Umbria",1070,75,188,7980,602,22,45,1
"452","3","Umbria",1100,70,200,7910,610,39,44,1
